time,imu_x,imu_y,imu_z,gyro_x,gyro_y,gyro_z,gps_x,gps_y,gps_z,motor_fl,motor_fr,motor_rl,motor_rr
1.01600,0.00000,-0.06974,-3.14159,-0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,646.98447,646.98458,651.16899,651.16910
1.02400,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.55425,75.55437,79.73877,79.73889
1.03200,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.55608,75.55620,79.74060,79.74071
1.04000,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.55791,75.55802,79.74243,79.74254
1.04800,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.55974,75.55985,79.74426,79.74437
1.05600,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.56157,75.56168,79.74608,79.74620
1.06400,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.56340,75.56351,79.74791,79.74803
1.07200,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.56522,75.56534,79.74974,79.74985
1.08000,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.56705,75.56717,79.75156,79.75168
1.08800,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.56888,75.56900,79.75339,79.75351
1.09600,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.57071,75.57083,79.75522,79.75534
1.10400,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.57254,75.57266,79.75705,79.75716
1.11200,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.57437,75.57448,79.75887,79.75899
1.12000,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.57619,75.57631,79.76070,79.76082
1.12800,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.57802,75.57814,79.76252,79.76264
1.13600,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.57985,75.57997,79.76435,79.76447
1.14400,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.58168,75.58180,79.76618,79.76630
1.15200,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.58351,75.58363,79.76800,79.76812
1.16000,0.00000,-0.06974,-3.14159,0.00000,0.00000,-0.00000,0.00531,-0.00000,0.08571,75.58534,75.58546,79.76983,79.76995
1.16800,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.58717,75.58729,79.77166,79.77178
1.17600,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.58900,75.58912,79.77348,79.77360
1.18400,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.59083,75.59095,79.77531,79.77543
1.19200,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.59266,75.59278,79.77713,79.77726
1.20000,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.59448,75.59461,79.77896,79.77908
1.20800,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.59631,75.59644,79.78078,79.78091
1.21600,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.59814,75.59827,79.78261,79.78273
1.22400,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.59997,75.60010,79.78443,79.78456
1.23200,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.60180,75.60193,79.78626,79.78639
1.24000,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.60363,75.60376,79.78808,79.78821
1.24800,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.60546,75.60559,79.78991,79.79004
1.25600,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.60729,75.60742,79.79173,79.79186
1.26400,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.60912,75.60925,79.79356,79.79369
1.27200,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.61095,75.61108,79.79538,79.79551
1.28000,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.61278,75.61291,79.79721,79.79734
1.28800,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.61461,75.61474,79.79903,79.79916
1.29600,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.61644,75.61657,79.80086,79.80099
1.30400,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.61827,75.61840,79.80268,79.80281
1.31200,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.62010,75.62024,79.80451,79.80464
1.32000,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.62193,75.62207,79.80633,79.80646
1.32800,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.62376,75.62390,79.80815,79.80829
1.33600,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.62559,75.62573,79.80998,79.81011
1.34400,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.62742,75.62756,79.81180,79.81194
1.35200,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.62926,75.62939,79.81362,79.81376
1.36000,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.63109,75.63122,79.81545,79.81558
1.36800,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.63292,75.63305,79.81727,79.81741
1.37600,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.63475,75.63489,79.81910,79.81923
1.38400,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.63658,75.63672,79.82092,79.82106
1.39200,0.00000,-0.06974,-3.14159,0.00000,0.00001,-0.00000,0.00531,-0.00000,0.08571,75.63841,75.63855,79.82274,79.82288
1.40000,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.64024,75.64038,79.82456,79.82470
1.40800,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.64207,75.64221,79.82639,79.82653
1.41600,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.64390,75.64404,79.82821,79.82835
1.42400,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.64574,75.64588,79.83003,79.83017
1.43200,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.64757,75.64771,79.83186,79.83200
1.44000,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.64940,75.64954,79.83368,79.83382
1.44800,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.65123,75.65137,79.83550,79.83564
1.45600,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.65306,75.65320,79.83732,79.83747
1.46400,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.65489,75.65504,79.83915,79.83929
1.47200,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.65672,75.65687,79.84097,79.84111
1.48000,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.65856,75.65870,79.84279,79.84294
1.48800,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.66039,75.66053,79.84461,79.84476
1.49600,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.66222,75.66237,79.84644,79.84658
1.50400,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.66405,75.66420,79.84826,79.84840
1.51200,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.66588,75.66603,79.85008,79.85023
1.52000,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.66772,75.66786,79.85190,79.85205
1.52800,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.66955,75.66970,79.85372,79.85387
1.53600,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.67138,75.67153,79.85554,79.85569
1.54400,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.67321,75.67336,79.85737,79.85751
1.55200,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.67505,75.67520,79.85919,79.85934
1.56000,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.67688,75.67703,79.86101,79.86116
1.56800,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.67871,75.67886,79.86283,79.86298
1.57600,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.68054,75.68070,79.86465,79.86480
1.58400,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.68238,75.68253,79.86647,79.86662
1.59200,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.68421,75.68436,79.86829,79.86844
1.60000,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.68604,75.68620,79.87011,79.87027
1.60800,0.00000,-0.06974,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.68788,75.68803,79.87193,79.87209
1.61600,0.00000,-0.06973,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.68971,75.68986,79.87375,79.87391
1.62400,0.00000,-0.06973,-3.14159,0.00000,0.00002,-0.00000,0.00531,-0.00000,0.08571,75.69154,75.69170,79.87557,79.87573
1.63200,0.00000,-0.06973,-3.14159,0.00000,0.00003,-0.00000,0.00531,-0.00000,0.08571,75.69338,75.69353,79.87739,79.87755
1.64000,0.00000,-0.06973,-3.14159,0.00000,0.00003,-0.00000,0.00531,-0.00000,0.08571,75.69521,75.69537,79.87921,79.87937
1.64800,0.00000,-0.06973,-3.14159,0.00000,0.00003,-0.00000,0.00531,-0.00000,0.08571,75.69704,75.69720,79.88103,79.88119
1.65600,0.00000,-0.06973,-3.14159,0.00000,0.00003,-0.00000,0.00531,-0.00000,0.08571,75.69888,75.69903,79.88285,79.88301
1.66400,0.00000,-0.06973,-3.14159,0.00000,0.00003,-0.00000,0.00531,-0.00000,0.08571,75.70071,75.70087,79.88467,79.88483
1.67200,0.00000,-0.06973,-3.14159,0.00000,0.00003,-0.00000,0.00531,-0.00000,0.08571,75.70254,75.70270,79.88649,79.88665
