Time,Altitude_Error,Integral_Altitude_Error,Derivative_Altitude_Error,Control_Signal
0.0080,0.9006,0.0072,112.5785,571.9005
0.0160,0.9019,0.0144,0.1565,9.8050
0.0240,0.9038,0.0217,0.2341,10.2136
0.0320,0.9062,0.0289,0.3113,10.6262
0.0400,0.9093,0.0362,0.3881,11.0428
0.0480,0.9131,0.0435,0.4644,11.4633
0.0560,0.9132,0.0508,0.0173,9.2314
0.0640,0.9140,0.0581,0.1015,9.6621
0.0720,0.9155,0.0654,0.1853,10.0978
0.0800,0.9155,0.0727,-0.0008,9.1693
0.0880,0.9145,0.0801,-0.1281,8.5243
0.0960,0.9141,0.0874,-0.0487,8.9190
0.1040,0.9143,0.0947,0.0301,9.3175
0.1120,0.9142,0.1020,-0.0202,9.0659
0.1200,0.9144,0.1093,0.0272,9.3070
0.1280,0.9148,0.1166,0.0551,9.4530
0.1360,0.9146,0.1240,-0.0292,9.0308
0.1440,0.9145,0.1313,-0.0077,9.1396
0.1520,0.9145,0.1386,-0.0057,9.1508
0.1600,0.9144,0.1459,-0.0046,9.1580
0.1680,0.9144,0.1532,-0.0036,9.1642
0.1760,0.9144,0.1605,-0.0029,9.1694
0.1840,0.9144,0.1678,-0.0023,9.1740
0.1920,0.9144,0.1752,-0.0019,9.1780
0.2000,0.9143,0.1825,-0.0015,9.1816
0.2080,0.9143,0.1898,-0.0012,9.1848
0.2160,0.9143,0.1971,-0.0009,9.1877
0.2240,0.9143,0.2044,-0.0008,9.1905
0.2320,0.9143,0.2117,-0.0006,9.1930
0.2400,0.9143,0.2190,-0.0005,9.1954
0.2480,0.9143,0.2264,-0.0004,9.1977
0.2560,0.9143,0.2337,-0.0003,9.1999
0.2640,0.9143,0.2410,-0.0003,9.2020
0.2720,0.9143,0.2483,-0.0002,9.2040
0.2800,0.9143,0.2556,-0.0002,9.2061
0.2880,0.9143,0.2629,-0.0001,9.2080
0.2960,0.9143,0.2702,-0.0001,9.2100
0.3040,0.9143,0.2776,-0.0001,9.2119
0.3120,0.9143,0.2849,-0.0001,9.2138
0.3200,0.9143,0.2922,-0.0001,9.2157
0.3280,0.9143,0.2995,-0.0000,9.2176
0.3360,0.9143,0.3068,-0.0000,9.2194
0.3440,0.9143,0.3141,-0.0000,9.2213
0.3520,0.9143,0.3214,-0.0000,9.2231
0.3600,0.9143,0.3288,-0.0000,9.2250
0.3680,0.9143,0.3361,-0.0000,9.2268
0.3760,0.9143,0.3434,-0.0000,9.2287
0.3840,0.9143,0.3507,-0.0000,9.2305
0.3920,0.9143,0.3580,-0.0000,9.2323
0.4000,0.9143,0.3653,-0.0000,9.2342
0.4080,0.9143,0.3726,-0.0000,9.2360
0.4160,0.9143,0.3800,-0.0000,9.2378
0.4240,0.9143,0.3873,-0.0000,9.2397
0.4320,0.9143,0.3946,-0.0000,9.2415
0.4400,0.9143,0.4019,-0.0000,9.2433
0.4480,0.9143,0.4092,-0.0000,9.2452
0.4560,0.9143,0.4165,-0.0000,9.2470
0.4640,0.9143,0.4238,-0.0000,9.2488
0.4720,0.9143,0.4312,-0.0000,9.2506
0.4800,0.9143,0.4385,-0.0000,9.2525
0.4880,0.9143,0.4458,-0.0000,9.2543
0.4960,0.9143,0.4531,-0.0000,9.2561
0.5040,0.9143,0.4604,-0.0000,9.2580
0.5120,0.9143,0.4677,-0.0000,9.2598
0.5200,0.9143,0.4750,-0.0000,9.2616
0.5280,0.9143,0.4824,-0.0000,9.2634
0.5360,0.9143,0.4897,-0.0000,9.2653
0.5440,0.9143,0.4970,-0.0000,9.2671
0.5520,0.9143,0.5043,-0.0000,9.2689
0.5600,0.9143,0.5116,-0.0000,9.2707
0.5680,0.9143,0.5189,-0.0000,9.2726
0.5760,0.9143,0.5262,-0.0000,9.2744
0.5840,0.9143,0.5336,-0.0000,9.2762
0.5920,0.9143,0.5409,-0.0000,9.2781
0.6000,0.9143,0.5482,-0.0000,9.2799
0.6080,0.9143,0.5555,-0.0000,9.2817
0.6160,0.9143,0.5628,-0.0000,9.2835
0.6240,0.9143,0.5701,-0.0000,9.2854
0.6320,0.9143,0.5774,-0.0000,9.2872
0.6400,0.9143,0.5848,-0.0000,9.2890
0.6480,0.9143,0.5921,-0.0000,9.2908
0.6560,0.9143,0.5994,-0.0000,9.2927
0.6640,0.9143,0.6067,-0.0000,9.2945
0.6720,0.9143,0.6140,-0.0000,9.2963
0.6800,0.9143,0.6213,-0.0000,9.2982
0.6880,0.9143,0.6286,-0.0000,9.3000
0.6960,0.9143,0.6360,-0.0000,9.3018
0.7040,0.9143,0.6433,-0.0000,9.3036
0.7120,0.9143,0.6506,-0.0000,9.3055
0.7200,0.9143,0.6579,-0.0000,9.3073
0.7280,0.9143,0.6652,-0.0000,9.3091
0.7360,0.9143,0.6725,-0.0000,9.3109
0.7440,0.9143,0.6798,-0.0000,9.3128
0.7520,0.9143,0.6872,-0.0000,9.3146
0.7600,0.9143,0.6945,-0.0000,9.3164
0.7680,0.9143,0.7018,-0.0000,9.3183
0.7760,0.9143,0.7091,-0.0000,9.3201
0.7840,0.9143,0.7164,-0.0000,9.3219
0.7920,0.9143,0.7237,-0.0000,9.3237
0.8000,0.9143,0.7310,-0.0000,9.3256
0.8080,0.9143,0.7384,-0.0000,9.3274
0.8160,0.9143,0.7457,-0.0000,9.3292
0.8240,0.9143,0.7530,-0.0000,9.3310
0.8320,0.9143,0.7603,-0.0000,9.3329
0.8400,0.9143,0.7676,-0.0000,9.3347
0.8480,0.9143,0.7749,-0.0000,9.3365
0.8560,0.9143,0.7822,-0.0000,9.3383
0.8640,0.9143,0.7896,-0.0000,9.3402
0.8720,0.9143,0.7969,-0.0000,9.3420
0.8800,0.9143,0.8042,-0.0000,9.3438
0.8880,0.9143,0.8115,-0.0000,9.3457
0.8960,0.9143,0.8188,-0.0000,9.3475
0.9040,0.9143,0.8261,-0.0000,9.3493
0.9120,0.9143,0.8334,-0.0000,9.3511
0.9200,0.9143,0.8408,-0.0000,9.3530
0.9280,0.9143,0.8481,-0.0000,9.3548
0.9360,0.9143,0.8554,-0.0000,9.3566
0.9440,0.9143,0.8627,-0.0000,9.3584
0.9520,0.9143,0.8700,-0.0000,9.3603
0.9600,0.9143,0.8773,-0.0000,9.3621
0.9680,0.9143,0.8846,-0.0000,9.3639
0.9760,0.9143,0.8920,-0.0000,9.3657
0.9840,0.9143,0.8993,-0.0000,9.3676
0.9920,0.9143,0.9066,-0.0000,9.3694
1.0000,0.9143,0.9139,-0.0000,9.3712
1.0080,0.9143,0.9212,-0.0000,9.3731
1.0160,0.9143,0.9285,-0.0000,9.3749
1.0240,0.9143,0.9358,-0.0000,9.3767
1.0320,0.9143,0.9432,-0.0000,9.3785
