a,b
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0857
1.0000,0.0858
1.0000,0.0858
1.0000,0.0858
1.0000,0.0858
1.0000,0.0858
1.0000,0.0858
1.0000,0.0858
1.0000,0.0858
1.0000,0.0858
1.0000,0.0858
1.0000,0.0858
1.0000,0.0858
1.0000,0.0858
1.0000,0.0858
1.0000,0.0859
1.0000,0.0860
1.0000,0.0861
1.0000,0.0862
1.0000,0.0864
1.0000,0.0866
1.0000,0.0869
1.0000,0.0872
1.0000,0.0875
1.0000,0.0879
1.0000,0.0884
1.0000,0.0889
